x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label
flavoxate,fleɪvəkseɪt,flavoksate,fluvoxamine,fluːvɑːksɐmiːn,fluvoksamine,1
captopril,kæptɑːpɹəl,kaptopɾil,xcopri,ɛkskɑːpɹi,kskopɾiʔ,0
neupogen,nuːpədʒən,neupogen,nebupent,nɛbjuːpənt,nebupent,0
comvax,kəmvæks,komvejks,recombivax hb,ɹiːkəmbɪvæks eɪtʃbiː,ɾekombivejkshb,1
axitinib,æksɪtɪnɪb,ʔaksitinib,tofacitinib,tɑːfɐsɪtɪnɪb,tofasjtinib,0
sumatriptan naproxen sodium,suːmɐtɹɪptən næpɹɑːksən soʊdiəm,sumatɾiptannapɾoksensodjum,sumatriptan succinate,suːmɐtɹɪptən səksɪneɪt,sumatɾiptansukjnate,0
nalbuphine,nælbəfiːn,nalbuphine,naloxone,næləksoʊn,naloksone,1
materna,mətɜːnə,mateɾna,matulane,mætʃəleɪn,matulaneʔ,1
oracea,oːɹeɪsiə,ʔoɾakea,orencia,ɔːɹɛnʃə,ʔoɾjsia,1
duragesic 100,dʊɹɹeɪdʒzɪk wʌnhʌndɹɪd,duɾejʤk100,duragesic 12,dʊɹɹeɪdʒzɪk twɛlv,duɾejʤk12,0
tequin,tɛkwɪn,tekin,ticlid,tɪklɪd,tiklid,1
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,cefoxitin,sɛfəksɪtɪn,kefoksitin,1
acetazolamide,æsɪtæzəlæmaɪd,ʔaketasolamide,acetohexamide,æsɪtoʊhɪksæmaɪd,ʔakʔeoʤksamide,1
selegiline,sɛlɪdʒɪliːn,selegiline,plegine,plɛdʒɪn,plegine,0
amaryl,æmɑːɹɹɪl,ʔamaɾjl,avandaryl,ævɐndɑːɹɹɪl,ʔavandaɾjl,0
levemir,lɛvɪmɪɹ,levemiɾ,leqembi,lɛkɪmbaɪ,lekembiʔ,0
keflex,kɛflɛks,keflks,keflin,kɛflɪn,keflin,0
casodex,kæsoʊdɛks,kks,kapidex,kæpaɪdɛks,kapidjks,1
cycloserine,saɪkloʊzɹiːn,sikeloseɾine,cyclosporine,saɪkləspoːɹiːn,sikelospoɾine,1
orfadin,ɔːɹfɐdɪn,ʔoɾfadin,surfaxin,sɜːfɐksɪn,suɾfaksin,0
zavesca,zeɪvskə,zavka,alvesco,ælvɛskoʊ,ʔalvko,0
tobradex,tɑːbɹeɪdɛks,tobɾadeks,tobrex,tɑːbɹɛks,tobɾeks,1
benicar,bɪnɪkɑːɹ,benikaɾ,mevacor,mɛvækɚ,mevakoɾ,1
hydroxyurea,haɪdɹɑːksɪjuːɹiə,hjdɾoksjuɾea,ure na,jʊɹ nɑː,ʔuɾena,1
triavil 2 10,tɹaɪævəl tuː tɛn,tɾiʔavjl210,triavil 2 25,tɹaɪævəl tuː twɛnti faɪv,tɾiʔavjl225,0
acetic acid for irrigation,ɐsiːɾɪk æsɪd fɔːɹ ɪɹɪgeɪʃən,ʔaketikʔasidfoɾʔiɾɾigatjon,glacial acetic acid,gleɪʃəl ɐsiːɾɪk æsɪd,glasialʔaketikʔasid,1
infliximab,ɪnflɪksɪmæb,ʔinfliksimab,rituximab,ɹɪɾəksɪmæb,ɾituksimab,1
methylprednisolone,mɛθəlpɹɛdnɪsɑːloʊn,methjlpɾednisolone,methyltestosterone,mɛθəlɾɪstɑːstɚɹoʊn,methjltestosteɾone,1
precare,pɹɪkɛɹ,pɾekaɾe,propecia,pɹəpiːʃə,pɾopesia,0
solu cortef,sɑːluː kɔːɹɾɛf,solukoɾtef,solu medrol,sɑːluː mɛdɹɑːl,solumedɾol,1
zonegran,zoʊŋgɹən,zonegɾan,neggram,nɛgɹæm,neggɾam,0
bextra,bɛkstɹə,bekstɾa,zetia,zɛʃə,zetia,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,irbesartan and hydrochlorothiazide,ɜːbɪsɑːɹtən ænd haɪdɹəkloːɹoʊθɪeɪzaɪd,ʔiɾbesaɾtanʔandhjdɾoʧloɾothiʔazide,0
ogen 25,oʊdʒən twɛnti faɪv,ʔogen25,ogen 625,oʊdʒən sɪkshʌndɹɪd twɛnti faɪv,ʔogen625,0
metronidazole,mɛtɹənɪdɐzoʊl,metɾonidasole,ketoconazole,kɛɾəkɑːnɐzoʊl,ketokonasole,0
norlestrin 21 1 50,noːɹlɪstɹɪn twɛnti wʌn wʌn fɪfti,noɾlestɾin21150,norlestrin fe 25 50,noːɹlɪstɹɪn fiː twɛnti faɪv fɪfti,noɾlestɾinfe2550,0
testoderm,tɛstoʊdɜːm,testodeɾm,testoderm tts,tɛstoʊdɜːm tiːtiːɛs,testodeɾmtʧ,1
biaxin,baɪəksɪn,biʔaksin,niacin,naɪəsɪn,niasjn,0
corlopam,kɔːɹləpæm,koɾlopam,orlaam,ɔːɹlɑːm,ʔoɾlaʔam,0
vioxx,vaɪɑːks,vioksks,zyvox,zaɪvɑːks,zjvoks,1
optiray 160,ɑːptɚɹeɪ wʌnhʌndɹɪd sɪksti,ʔoptiɾaj160,optiray 240,ɑːptɚɹeɪ tuːhʌndɹɪd foːɹɾi,ʔoptiɾaj240,0
penicillin,pɛnɪsɪlɪn,penisillin,phrenilin,fɹɛnɪlɪn,phɾenilin,0
vinblastine,vɪnblɐstiːn,vinblastine,vincristine,vɪŋkɹɪstiːn,vkɾistine,1
xanax,zænæks,ksanaʔks,zantac,zæntæk,zantak,1
miostat,mɪɑːstæt,miostat,nilstat,nɪlstæt,nilstat,0
dobutamine,dəbjuːɾɐmiːn,dobutamine,dopamine,dɑːpɐmiːn,dopamine,1
avinza,ævɪnzə,ʔavsa,invanz,ɪnvænts,ʔinvans,1
flovent,flʌvɛnt,flavnt,beclovent,bɪkloʊvənt,beklavnt,0
risperdal,ɹɪspɜːdəl,ɾispeɾdal,ropinirole,ɹəpɪnɪɹoʊl,ɾopiniɾole,1
patanol,pætɐnɑːl,patanol,atenolol,eɪtnəlɑːl,ʔatenolol,0
amiodarone,æmɪɑːdɐɹoʊn,ʔamiodaɾone,didronel,dɪdɹoʊnəl,didɾonel,0
metadate er,mɛɾədeɪt ɜː,metadateʔeɾ,methadone,mɛθɐdoʊn,methadone,1
loxitane,lɑːksɪteɪn,loksitaneʔ,soriatane,soːɹɪæteɪn,soɾjataneʔ,1
naloxegol,næləksɛgɑːl,naloksegol,naloxone hcl,næləksoʊn eɪtʃsiːɛl,naloksonehkl,0
iodine,aɪədiːn,ʔiodine,lodine,lɑːdiːn,lodine,1
focalin,foʊkɐlɪn,fokalin,foamicon,foʊmɪkən,foʔamikon,0
paclitaxel,pæklɪtæksəl,paklitaksel,pioglitazone,pɪɑːglɪtæzoʊn,pioglitasone,0
janumet,dʒænuːmɪt,ʤanumet,sinemet,saɪnmɪt,sinemet,1
lanoxin,lænəksɪn,lanoksin,lanoxicaps,lænəksɪkæps,lanoksikaps,0
precare,pɹɪkɛɹ,pɾekaɾe,precose,pɹiːkoʊs,pɾekose,1
asacol,ɐsækɑːl,ʔasakol,aphthasol,ɐfθæsɑːl,ʔaphtasol,0
oxycontin,ɑːksɪkɔntɪn,ʔoksikeontin,oxymorphone,ɑːksɪmoːɹfoʊn,ʔoksjmoɾphone,1
ellence,ɛləns,ʔeljjkeʔ,feldene,fɛldiːn,feldene,0
zostrix,zɑːstɹɪks,zostɾiks,zovirax,zɑːvɚɹæks,zovjks,1
tri lo estarylla,tɹaɪ loʊ ɛstɑːɹɹɪlə,tɾiloʔestaɾjllaʔ,tri lo sprintec,tɹaɪ loʊ spɹɪntɛk,tɾilospɾintek,0
darvon,dɑːɹvɑːn,daɾvon,edaravone,ɛdɐɹævoʊn,ʔedaɾavone,0
blephamide,blɛfɐmaɪd,blephamide,cetamide,sɛɾɐmaɪd,ketamide,0
zestril,zɛstɹəl,zestɾil,zetia,zɛʃə,zetia,1
celexa,sɛlɛksə,kʔelksaʔ,increlex,ɪŋkɹɪlɛks,ʔinklks,0
erdafitinib,ɜːdɐfɪtɪnɪb,ʔeɾdafitinib,gefitinib,dʒɛfɪtɪnɪb,gefitinib,0
everolimus,ɛvɚɹɑːlɪməs,ʔeveɾolimus,pimecrolimus,paɪmkɹəlɪməs,pimekɾolimus,0
atomoxetine,æɾəmɑːksɪtiːn,ʔatomoksetine,atorvastatin,æɾoːɹvæstɐtɪn,ʔatoɾvastatin,1
acetaminophen,æsɪtæmɪnɑːfən,ʔaketaminophen,acetazolamide,æsɪtæzəlæmaɪd,ʔaketasolamide,1
atacand,æɾɐkænd,ʔatakand,datscan,dætskæn,daʧkan,0
ropivacaine,ɹɑːpɪveɪkeɪn,ɾopivakaʔineʔ,tropicamide,tɹɑːpɪkæmaɪd,tɾopikamide,0
imcivree,ɪmsɪvɹiː,ʔimsjveʔ,incivek,ɪnsaɪvək,ʔinsjvek,0
zovirax,zɑːvɚɹæks,zovjks,zyvox,zaɪvɑːks,zjvoks,1
vesanoid,vɛsɐnɔɪd,vesanoid,vesicare,vɛsɪkɛɹ,vesikaɾe,1
aripiprazole,æɹɪpɪpɹɐzoʊl,ʔaɾipipɾasole,rabeprazole,ɹeɪbpɹɐzoʊl,ɾabepɾasole,1
procan sr,pɹɑːkən ɛsɑːɹ,pɾokansɾ,procanbid,pɹɑːkɐnbɪd,pɾokanbid,1
maxzide,mækszaɪd,makszide,microzide,maɪkɹoʊzaɪd,mikɾozide,1
claritin,klæɹɪtɪn,klaɾitin,claritin eye,klæɹɪtɪn aɪ,klaɾitinʔeje,1
levetiracetam,lɛvɪtɜːɹɐsɛɾæm,levetiɾaketam,levocarnitine,lɛvəkɑːɹnɪtiːn,levokaɾnitine,1
azithromycin,æzɪθɹəmaɪsɪn,ʔazitɾomjsjn,robimycin,ɹɑːbɪmaɪsɪn,ɾobimjsjn,0
gabapentin,gæbeɪpɛntɪn,gabapentin,gemfibrozil,dʒɛmfɪbɹɑːzɪl,gemfibɾozil,1
aciphex,ɐsɪfɛks,ʔasipʤks,aricept,æɹaɪsəpt,ʔaɾjsept,1
aripiprazole,æɹɪpɪpɹɐzoʊl,ʔaɾipipɾasole,proton pump inhibitors,pɹoʊtɑːn pʌmp ɪnhɪbɪɾɚz,pɾotonpumpʔinhibitoɾs,1
rifadin,ɹɪfɐdɪn,ɾifadin,rifater,ɹɪfeɪɾɚ,ɾifateɾ,1
penicillin g sodium,pɛnɪsɪlɪn dʒiː soʊdiəm,penisillingsodjum,penicillin vk,pɛnɪsɪlɪn viːkeɪ,penisillinvk,0
cymbalta,sɪmbæltə,simbalta,symbyax,sɪmbɪæks,sjmbjaks,1
akrinol,ækɹɪnɑːl,ʔakɾinol,marinol,mɚɹɪnɑːl,maɾinol,0
arduan,ɑːɹduːən,ʔaɾduʔan,aredia,æɹiːdiə,ʔaɾedia,0
slynd,slaɪnd,sljnd,syeda,sɪɛdə,sjeda,1
mifeprex,maɪfpɹɛks,mifepɾeks,moviprep,muːvɪpɹɛp,movipɾep,0
diabeta,daɪəbɛɾə,diabeta,dermabet,dɜːmæbɪt,deɾmabet,0
sinequan,saɪŋkwən,sinekan,singulair,sɪŋgjʊlɛɹ,siŋulajɾ,1
cetirizine,sɛɾɪɹɪziːn,ketiɾizine,cimetidine,saɪmtɪdiːn,kimetidine,0
evista,ɪvɪstə,ʔevista,vivimusta,vɪvɪmʌstə,vivimusta,0
methotrexate,mɛθətɹɛkseɪt,methotksate,mtx patch,ɛmtiːɛks pætʃ,mtkspaʧ,1
proair hfa,pɹoʊɜːɹ eɪtʃɛfeɪ,pɾoajɾhfa,proair respiclick,pɹoʊɜː ɹɪspɪklɪk,pɾoajɾɾespikljsk,0
sertraline,sɜːtɹəlaɪn,seɾtɾaline,soriatane,soːɹɪæteɪn,soɾjataneʔ,1
clonidine,klɑːnɪdiːn,klonidine,clozapine,klɑːzɐpaɪn,klosapine,1
admelog,ɐdmɛlɑːg,ʔadmelog,dymelor,daɪmɛlɚ,djmeloɾ,0
lamictal,læmɪktəl,lamiktal,lamisil,læmɪsəl,lamisil,1
ms contin,ɛmɛs kəntɪn,mskontin,oxycontin,ɑːksɪkɔntɪn,ʔoksikeontin,1
metyrapone,mɛɾɪɹæpoʊn,metjɾapone,entacapone,ɛntækeɪpoʊn,ʔentakapone,0
dexmethylphenidate,dɛksmɪθəlfɛnɪdeɪt,deksmetjlphenidate,methadone,mɛθɐdoʊn,methadone,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,hydroxychloroquine,haɪdɹɑːksɪkloːɹoʊkwaɪn,hjdɾoksjʧloɾokine,1
hydropres 25,haɪdɹɑːpɚz twɛnti faɪv,hjdɾopɾes25,hydropres 50,haɪdɹɑːpɚz fɪfti,hjdɾopɾes50,0
bristamycin,bɹɪstɐmaɪsɪn,bɾistamjsjn,robimycin,ɹɑːbɪmaɪsɪn,ɾobimjsjn,0
renagel,ɹɪneɪdʒəl,ɾenagel,renvela,ɹɛnvɛlə,ɾenvela,1
estratest,ɛstɹeɪtɪst,ʔestɾatest,estratest hs,ɛstɹeɪtɪst eɪtʃɛs,ʔestɾatesths,1
pentobarbital,pɛntəbɑːɹbɪɾəl,pentobaɾbital,phenobarbital,fɛnəbɑːɹbɪɾəl,phenobaɾbital,1
aldoril 15,ɔːldoːɹəl fɪftiːn,ʔaldoɾil15,aldoril d30,ɔːldoːɹəl diː θɜːɾi,ʔaldoɾild30,0
fentanyl 37,fɛntɐnaɪl θɜːɾi sɛvən,fentanjl37,fentanyl 62,fɛntɐnaɪl sɪksti tuː,fentanjl62,0
methazolamide,mɛθeɪzɑːlɐmaɪd,methasolamide,metolazone,mɛɾəlæzoʊn,metolasone,1
phenaphen w codeine no 3,fɛnæfən dʌbəljuː koʊdaɪn noʊ θɹiː,phenaphenwkodejneno3,tylenol w codeine no 3,taɪlənɑːl dʌbəljuː koʊdaɪn noʊ θɹiː,tjlenolwkodejneno3,0
viokase,vaɪəkeɪs,viokase,invirase,ɪnvɜːɹeɪz,ʔinviɾase,0
brilinta,bɹɪlɪntə,bɾilinta,brintellix,bɹɪntɪlɪks,bɾinteliks,1
tiagabine,tiːəgæbaɪn,tiʔagabine,tyzavan,taɪzɐvæn,tjsavan,0
idarubicin,aɪdɑːɹɹuːbɪsɪn,ʔidaɾubjsjn,idamycin,aɪdɐmaɪsɪn,ʔidamjsjn,0
methadone hydrochloride intensol,mɛθɐdoʊn haɪdɹəkloːɹaɪd ɪntɛnsɑːl,methadonehjdɾoʧloɾideʔintensol,metoclopramide intensol,mɛɾəklɑːpɹɐmaɪd ɪntɛnsɑːl,metoklopɾamideʔintensol,0
enbrel,ɛnbɹɛl,ʔenbɾel,levbid,lɛvbɪd,levbid,1
hydralazine,haɪdɹɐlæziːn,hjdɾalasʔineʔ,hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,1
fluphenazine,flʌfənæziːn,fluphenasʔineʔ,fluvoxamine,fluːvɑːksɐmiːn,fluvoksamine,1
foradil,fɔːɹɐdɪl,foɾadil,toradol,toːɹɐdɑːl,toɾadol,1
argatroban,ɑːɹgɐtɹɑːbən,ʔaɾgatɾoban,orgatrax,ɔːɹgɐtɹæks,ʔoɾgatɾaks,0
paxil,pæksɪl,paksil,trexall,tɹɛksɔːl,tɾeksol,1
symbyax,sɪmbɪæks,sjmbjaks,symbravo,sɪmbɹɑːvoʊ,sjmbɾavoʔ,0
oxybutynin,ɑːksɪbjuːtɪnɪn,ʔoksjbutjnin,oxymorphone,ɑːksɪmoːɹfoʊn,ʔoksjmoɾphone,1
rituximab,ɹɪɾəksɪmæb,ɾituksimab,truxima,tɹʌksɪmə,tɾuksima,0
dioval,dɪuːvəl,dioval,dovato,dəvɑːɾoʊ,dovatoʔ,0
tiagabine,tiːəgæbaɪn,tiʔagabine,tizanidine,tɪzɐnɪdiːn,tisanidine,1
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,azithromycin,æzɪθɹəmaɪsɪn,ʔazitɾomjsjn,0
lexapro,lɛksæpɹoʊ,leksɾoʔ,loxitane,lɑːksɪteɪn,loksitaneʔ,1
dexmethylphenidate,dɛksmɪθəlfɛnɪdeɪt,deksmetjlphenidate,dexmethylphenidate mixed salts,dɛksmɪθəlfɛnɪdeɪt mɪkst sɔlts,deksmetjlphenidatemiksedsalts,1
cedax,sɛdæks,kedaks,cidex,saɪdɛks,sjks,1
tresiba,tɹɛzɪbə,tɾesiba,trudhesa,tɹʌdhɛsə,tɾudhesa,0
rifampin,ɹɪfɐmpɪn,ɾifampin,orfadin,ɔːɹfɐdɪn,ʔoɾfadin,0
testoderm,tɛstoʊdɜːm,testodeɾm,betaderm,beɪɾədɜːm,betadeɾm,0
comvax,kəmvæks,komvejks,cormax,kɔːɹmæks,koɾmaks,0
maalox,mɑːlɑːks,maʔaloks,maalox total stomach relief,mɑːlɑːks toʊɾəl stʌmək ɹɪliːf,maʔalokstotalstomaʧɾelief,1
glycotrol,glaɪkətɹɑːl,glikeotɾol,nicotrol,nɪkətɹɑːl,nikotɾol,0
docetaxel,doʊstæksəl,doketaksel,paclitaxel,pæklɪtæksəl,paklitaksel,1
ethambutol,ɛθɐmbjuːɾɑːl,ʔethambutol,ethmozine,ɛθməziːn,ʔetmozine,1
bendamustine hydrochloride,bɛndɐmʌstiːn haɪdɹəkloːɹaɪd,bendamustinehjdɾoʧloɾide,benoxinate hydrochloride,bɪnɑːksɪneɪt haɪdɹəkloːɹaɪd,benoksjnatehjdɾoʧloɾide,0
prednisolone,pɹɪdnɪsəloʊn,pɾednisolone,prednisone,pɹɪdnɪsoʊn,pɾednisone,1
retrovir,ɹɛtɹoʊvɜː,ɾetɾovjɾ,rextovy,ɹɪkstɑːvi,ɾeksovj,0
betaprone,beɪɾəpɹoʊn,betapɾone,repronex,ɹɪpɹoʊnɛks,ɾepɾoneks,0
zerit,zɛɹɪt,zeɾit,zyrtec,zɪətɛk,zjɾtek,1
carbamazepine,kɑːɹbɐmeɪzɪpaɪn,kaɾbamasepine,oxcarbazepine,ɑːkskɑːɹbeɪzpaɪn,ʔokskaɾbasepine,1
humira pen,hjuːmiəɹə pɛn,humiɾapen,humalog pen,hjuːmɐlɑːg pɛn,humalogpen,0
granulex,gɹænuːlɛks,gɾanuleks,regranex,ɹɪgɹeɪnɛks,ɾegɾaneks,1
diabeta,daɪəbɛɾə,diabeta,diapid,daɪəpɪd,diʔapid,0
beclovent,bɪkloʊvənt,beklavnt,theovent,θiːəvənt,theovent,0
oxybutynin,ɑːksɪbjuːtɪnɪn,ʔoksjbutjnin,oxycontin,ɑːksɪkɔntɪn,ʔoksikeontin,1
saquinavir mesylate,sækwɪnævɪɹ mɛsɪleɪt,sakinavjɾmesjlate,eribulin mesylate,ɛɹɪbjʊlɪn mɛsɪleɪt,ʔeɾibulinmesjlate,0
elvitegravir cobicistat emtricitabine and tenofovir alafenamide,ɛlvaɪtgɹævɪɹ kɑːbɪsɪstæt ɛmtɹɪsɪtæbaɪn ænd tɛnəfɑːvɪɹ ɐleɪfnɐmaɪd,ʔelvitegɾavjɾkobjsistatʔemtɾajsitabineʔandtenofovjɾʔalafenamide,elvitegravir cobicistat emtricitabine and tenofovir disoproxil fumarate,ɛlvaɪtgɹævɪɹ kɑːbɪsɪstæt ɛmtɹɪsɪtæbaɪn ænd tɛnəfɑːvɪɹ dɪsɑːpɹəksɪl fjuːmæɹət,ʔelvitegɾavjɾkobjsistatʔemtɾajsitabineʔandtenofovjɾdisopɾoksilfumaɾate,1
anticoagulant citrate dextrose solution formula a,æntɪkoʊægjʊlənt sɪtɹeɪt dɛkstɹoʊz səluːʃən fɔːɹmjʊlə eɪ,ʔantikoʔagulantkitɾatedekstɾosesolutionfoɾmulaʔa,anticoagulant sodium citrate solution,æntɪkoʊægjʊlənt soʊdiəm sɪtɹeɪt səluːʃən,ʔantikoʔagulantsodjumkitɾatesolution,1
metformin,mɛtfoːɹmɪn,metfoɾmin,metronidazole,mɛtɹənɪdɐzoʊl,metɾonidasole,1
xeloda,zɛloʊdə,kseloda,exelon,ɛgzɛlən,ʔekselon,0
novolin,nɑːvəlɪn,novolin,novolog,nɑːvəlɑːg,novolog,1
humalog mix 50 50,hjuːmɐlɑːg mɪks fɪfti fɪfti,humalogmiks5050,humalog mix 75 25,hjuːmɐlɑːg mɪks sɛvənti faɪv twɛnti faɪv,humalogmiks7525,0
argatroban,ɑːɹgɐtɹɑːbən,ʔaɾgatɾoban,orgaran,ɔːɹgæɹən,ʔoɾgaɾan,1
idarubicin,aɪdɑːɹɹuːbɪsɪn,ʔidaɾubjsjn,idarucizumab,aɪdɑːɹɹuːsɪzjuːmæb,ʔidaɾusjsumab,1
desogen,dɪsoʊdʒən,desogen,femogen,fɛmədʒən,femogen,0
jantoven,dʒæntoʊvən,ʤantoven,januvia,dʒænuːviə,ʤanuvja,1
healon,hiːlɑːn,healon,hyalgan,haɪælgən,hjalgan,1
zestoretic,zɛstoːɹɛɾɪk,zestoɾetik,zusduri,zʌsdʒuːɹi,zusduɾiʔ,0
escitalopram,ɛsɪtæləpɹæm,ʔessitalopɾam,aloprim,ɐlɑːpɹɪm,ʔalopɾim,0
carteolol hydrochloride,kɑːɹɾɪɑːlɑːl haɪdɹəkloːɹaɪd,kaɾteololhjdɾoʧloɾide,propoxyphene hydrochloride,pɹəpɑːksɪfiːn haɪdɹəkloːɹaɪd,pɾopoksjphenehjdɾoʧloɾide,0
hydrea,haɪdɹiə,hjdɾea,hydrap es,haɪdɹæp iːz,hjdɾapʔes,0
saxagliptin,sæksɐglɪptɪn,saksagliptin,sitagliptin,sɪɾɐglɪptɪn,sitagliptin,1
desipramine,dɪzɪpɹɐmiːn,desipɾamine,disopyramide,dɪsɑːpɪɹæmaɪd,disopjɾamide,1
regranex,ɹɪgɹeɪnɛks,ɾegɾaneks,reglan,ɹɪglæn,ɾeglan,0
zelapar,zɛlɐpɑːɹ,zelapaɾ,zelboraf,zɛlboːɹæf,zelboɾaf,0
celebrex,sɛlɪbɹɛks,kelebɾeks,cerebyx,sɛɹɪbɪks,keɾebjks,1
faslodex,fæsloʊdɛks,faslodeks,nasonex,næsoʊnɛks,nasoneks,0
dextrose 5 and potassium chloride 015 in plastic container,dɛkstɹoʊz faɪv ænd pətæsiəm kloːɹaɪd ziəɹoʊ fɪftiːn ɪn plæstɪk kənteɪnɚ,dekstɾose5ʔandpotasumʧloɾide015ʔinplastikkontaʔineɾ,dextrose 5 sodium chloride 033 and potassium chloride 015 in plastic container,dɛkstɹoʊz faɪv soʊdiəm kloːɹaɪd ziəɹoʊ θɜːɾi θɹiː ænd pətæsiəm kloːɹaɪd ziəɹoʊ fɪftiːn ɪn plæstɪk kənteɪnɚ,dekstɾose5sodjumʧloɾide033ʔandpotasumʧloɾide015ʔinplastikkontaʔineɾ,0
flonase,flɑːneɪs,flonase,flovent,flʌvɛnt,flavnt,1
alfentanil,ɐlfɛntɐnɪl,ʔalfentanil,fentanyl,fɛntɐnaɪl,fentanjl,1
motrin,mɑːtɹɪn,motɾin,neurontin,nʊɹɹɔntɪn,neuɾontin,1
chlorpromazine,kloːɹəpɹɑːmɐziːn,ʧloɾpɾomasʔineʔ,chloraprep one step,kloːɹɐpɹɛp wʌn stɛp,ʧloɾapɾepʔonestep,0
floranex,floːɹeɪnɛks,floɾaneks,flolan,flɑːlæn,flolan,0
cubicin,kjuːbɪsɪn,kubjsjn,ocumycin,ɑːkəmaɪsɪn,ʔokamjsjn,0
mitoxantrone,maɪɾəksæntɹoʊn,mitoksantɾone,metastron,mɛɾəstɹən,metastɾon,0
lipitor,lɪpɪɾɚ,lipitoɾ,zyrtec,zɪətɛk,zjɾtek,1
taxol,tæksɑːl,taksol,taxotere,tæksoʊɾɚ,taksoteɾe,1
codeine,koʊdaɪn,kodejne,lodine,lɑːdiːn,lodine,1
triavil 4 25,tɹaɪævəl foːɹ twɛnti faɪv,tɾiʔavjl425,triavil 4 50,tɹaɪævəl foːɹ fɪfti,tɾiʔavjl450,0
engerix b adult,ɛndʒɛɹɪks biː ɐdʌlt,ʔeŋeɾjksbʔadult,engerix b pediatric adolescent,ɛndʒɛɹɪks biː piːdɪætɹɪk ædəlɛsənt,ʔeŋeɾjksbpediʔatɾajsʔadoleskent,1
accupril,ɐkʌpɹəl,ʔakupɾil,aciphex,ɐsɪfɛks,ʔasipʤks,1
seroquel,sɛɹɑːkwəl,seɾokel,sinequan,saɪŋkwən,sinekan,1
bryrel,bɹaɪɹəl,bɾjɾel,lybrel,lɪbɹəl,ljbɾel,0
oxycontin,ɑːksɪkɔntɪn,ʔoksikeontin,oxytocin,ɑːksɪtɑːsɪn,ʔoksjosjn,1
aminocaproic acid in plastic container,ɐmɪnəkɐpɹoʊɪk æsɪd ɪn plæstɪk kənteɪnɚ,ʔaminokapɾojsʔasidʔinplastikkontaʔineɾ,plegisol in plastic container,plɛdʒɪsɑːl ɪn plæstɪk kənteɪnɚ,plegisolʔinplastikkontaʔineɾ,0
carboplatin,kɑːɹbəplætɪn,kaɾboplatin,carbidopa,kɑːɹbɪdoʊpə,kaɾbidopa,0
ambisome,æmbaɪsʌm,ʔambisome,amphotericin b,æmfoʊtɹɪsɪn biː,ʔamphoteɾajsjnb,1
hydro reserp,haɪdɹoʊ ɹɪsɜːp,hjdɾoɾeseɾp,hydropres 25,haɪdɹɑːpɚz twɛnti faɪv,hjdɾopɾes25,0
tradjenta,tɹædʒɛntə,tɾadʤenta,trudhesa,tɹʌdhɛsə,tɾudhesa,0
lovaza,lʌvɑːzə,lovasa,akovaz,ækəvæz,ʔakovas,0
seroquel,sɛɹɑːkwəl,seɾokel,serzone,sɜːzoʊn,seɾsone,1
morphine non concentrated oral liquid,mɔːɹfiːn nɑːn kɑːnsəntɹeɪɾɪd oːɹəl lɪkwɪd,moɾphinenonkkentɾatedʔoɾallikid,morphine oral liquid concentrate,mɔːɹfiːn oːɹəl lɪkwɪd kɑːnsəntɹeɪt,moɾphineʔoɾallikidkkentɾate,1
lanophyllin,lænəfɪlɪn,lanophjllin,neothylline,niːoʊθɪlaɪn,neotjlline,0
daunorubicin,dɔːnoːɹuːbɪsɪn,daʔunoɾubjsjn,idarubicin,aɪdɑːɹɹuːbɪsɪn,ʔidaɾubjsjn,1
ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,methadone,mɛθɐdoʊn,methadone,1
neo cort dome,niːoʊ kɔːɹt doʊm,neokoɾtdome,neo cortef,niːoʊ kɔːɹɾɛf,neokoɾtef,0
bupivacaine,bjuːpɪveɪkeɪn,bupivakaʔineʔ,ropivacaine,ɹɑːpɪveɪkeɪn,ɾopivakaʔineʔ,1
nifedipine,naɪfdɪpaɪn,nifedipine,nimodipine,nɪmədɪpaɪn,nimodipine,1
paroxetine,pæɹəksɛtiːn,paɾoksetine,piroxicam,pɪɹəksɪkæm,piɾoksikam,1
amaryl,æmɑːɹɹɪl,ʔamaɾjl,reminyl,ɹɪmɪnaɪl,ɾeminjl,1
mirapex,mɜːɹeɪpɛks,miɾapeks,mirabegron,mɜːɹeɪbgɹən,miɾabegɾon,0
metyrosine,mɛɾɪɹɑːsaɪn,metjɾosine,myoscint,maɪəsɪnt,mjossjnt,0
thrombate iii,θɹɑːmbeɪt ɹoʊmən θɹiː,tɾombateʔiʔiiʔ,aerolate iii,ɛɹoʊleɪt ɹoʊmən θɹiː,ʔaeɾolateʔiʔiiʔ,0
neupogen,nuːpədʒən,neupogen,desogen,dɪsoʊdʒən,desogen,0
neulasta,nuːlæstə,neulasta,nuedexta,nuːdɛkstə,nuedekstaʔ,1
