x_1,t_1,x_2,t_2,label
saphceetrate,sæfsiːtɹeɪt,saphcee,sæfsiː,1
neuromard,nʊɹɹəmɑːɹd,neocard,niːoʊkɑːɹd,1
eye glo moist,aɪ gloʊ mɔɪst,eye glo relief,aɪ gloʊ ɹɪliːf,1
lexibase,lɛksɪbeɪs,lexib,lɛksɪb,1
medivasc,mɛdɪvæsk,metavasc,mɛɾəvæsk,1
adrepine,ɐdɹɛpaɪn,mardepine,mɑːɹdɪpaɪn,1
picinaf,pɪsɪnæf,mupicin,mjuːpɪsɪn,1
tigecid,taɪgɪsɪd,tigeclin,taɪgɪklɪn,1
o gold 20,oʊ goʊld twɛnti,o gold 40,oʊ goʊld fɔːɹɾi,1
sharjvax,ʃɑːɹdʒvæks,shaltrax,ʃæltɹæks,1
vistachlor,vɪstɐklɔːɹɚ,sustachlor,sʌstɐklɔːɹɚ,1
povistat,pɑːvɪstæt,rovista,ɹɑːvɪstə,1
cholsuvin,kɑːlsuːvɪn,cholib,kɑːlɪb,1
doctaxel,dɑːktæksəl,dolcetal,dɑːlsɛɾəl,1
param iv,pæɹəm ɹoʊmən fɔːɹ,parazar iv,pæɹəzɑːɹ ɹoʊmən fɔːɹ,1
felizen,fɛlɪzən,ferbizin,fɜːbɪzɪn,1
varivax,vɑːɹɹɪvæks,claribax,klæɹɪbæks,1
candegen,kændɛdʒən,cardigen,kɑːɹdaɪdʒən,1
esmazol,ɛsmɐzɑːl,epimazol,ɛpɪmæzɑːl,1
gasmodic,gæzmɑːdɪk,domic,dɑːmɪk,1
fusidasol,fjuːsɪdæsɑːl,fusid,fjuːsɪd,1
atracursaph,ætɹɐkɜːsæf,atracor,ætɹækɚ,1
rezotam,ɹɪzɑːɾæm,medzotam,mɛdzətæm,1
amphot,æmfɑːt,amphostal,æmfɑːstəl,1
capd dpca 3,kæpd diːpiːsiːeɪ θɹiː,capd dpca 17,kæpd diːpiːsiːeɪ sɛvəntiːn,1
myrevit,maɪɹɪvɪt,marvit,mɑːɹvɪt,1
endusol r,ɛnduːsɑːl ɑːɹ,duosol without potassium solution for haemofiltration,duːəsɑːl wɪðaʊt pətæsiəm səluːʃən fɔːɹ hiːməfɪltɹeɪʃən,1
flammasul,flæmæsəl,lamsul,læmsəl,1
gablin,gæblɪn,gablin plus,gæblɪn plʌs,1
myelax,maɪɪlæks,myelorex,maɪɪlɔːɹɛks,1
elmox cv 3125,ɛlmɑːks siːviː θɹiː θaʊzənd wʌnhʌndɹɪd twɛnti faɪv,elmox cv 2285,ɛlmɑːks siːviː tuː θaʊzənd tuːhʌndɹɪd eɪɾi faɪv,1
losar 50,lɑːsɑːɹ fɪfti,losaar 50,ləsɑːɹ fɪfti,1
medglor 90,mɛdʒlɚ naɪnti,sedlor,sɛdlɚ,1
ponser,pɑːnsɚ,onsetron,ɑːnsɪtɹɑːn,1
atracursaph,ætɹɐkɜːsæf,atracure,ætɹɐkjʊɹ,1
permetrizz,pɜːmɪtɹɪz,mperi,ɛmpɛɹi,1
piptazorixx,pɪptɐzɔːɹɪks,piotaz,pɪɑːɾæz,1
sharjvax,ʃɑːɹdʒvæks,varivax,vɑːɹɹɪvæks,1
rovix,ɹɑːvɪks,grovixin 625,gɹɑːvɪksɪn sɪkshʌndɹɪd twɛnti faɪv,1
rosubest 20,ɹɑːsuːbɪst twɛnti,rosubet 40,ɹɑːsuːbɪt fɔːɹɾi,1
pacitel 30,pæsɪɾəl θɜːɾi,pacitel 100,pæsɪɾəl wʌnhʌndɹɪd,1
rodazid,ɹɑːdɐzɪd,roxavid,ɹɑːksɐvɪd,1
pipercil 45,paɪpɚsəl fɔːɹɾi faɪv,piperacillin as sodium tazobactam as sodium,paɪpɹɐsɪlɪn æz soʊdiəm tæzəbæktæm æz soʊdiəm,1
salrite,sælɹaɪt,olrite,ɑːlɹaɪt,1
silrec 50,sɪlɹɛk fɪfti,metsaphtin 50 500,mɛtsɐftɪn fɪfti faɪvhʌndɹɪd,1
levollen,lɛvɑːlən,phenollen b500,fɛnoʊlən biː faɪvhʌndɹɪd,1
vibee,vɪbiː,vibert,vaɪbɜːt,1
vuznerv,vʌznɜːv,zinerve forte,zaɪnɚv fɔːɹɾeɪ,1
ketoran,kɛɾɔːɹən,ketorac,kɛɾɔːɹæk,1
felizen,fɛlɪzən,felizen ob,fɛlɪzən ɑːb,1
altussan,ɔːltʌsən,flustan,flʌstən,1
nicardilex,nɪkɑːɹdaɪlɛks,nicardimeds,nɪkɑːɹdaɪmdz,1
cosvit c plus,kɑːsvɪt siː plʌs,bamvit c,bæmvɪt siː,1
telsar 80,tɛlsɑːɹ eɪɾi,telmisar 80,tɛlmɪsɑːɹ eɪɾi,1
aspishield,æspɪʃiːld,shield,ʃiːld,1
vibee,vɪbiː,vitcee,vɪtsiː,1
finstal 1,fɪnstɔːl wʌn,piostal 15,pɪɑːstəl fɪftiːn,1
voltaren forte,voʊltæɹən fɔːɹɾeɪ,voltaren emulgel 12 hours,voʊltæɹən ɛmʌldʒəl twɛlv aʊɚz,1
sandostatin,sændəstætɪn,novastatin,noʊvəstætɪn,1
vibee,vɪbiː,vitzee,vɪtsiː,1
aviar,eɪvɪɑːɹ,avirin,ævɪɹɪn,1
flosazin,flɑːsɐzɪn,flamizin,flæmɪzɪn,1
robitussin dm,ɹɑːbaɪtʌsɪn diːɛm,robitussin dx,ɹɑːbaɪtʌsɪn diːɛks,1
silrec 50,sɪlɹɛk fɪfti,co zincretin 50 500,koʊ zɪŋkɹɪtɪn fɪfti faɪvhʌndɹɪd,1
insuget 70 30,ɪnsuːgɪt sɛvənti θɜːɾi,insuget n,ɪnsuːgɪt ɛn,1
enerstress,ɛnɚstɹəs,ventress,vɛntɹəs,1
riscare odt,ɹɪskɛɹ ɑːt,uricare,jʊɹɹɪkɛɹ,1
rifoxyn,ɹɪfəksɪn,rifoxib,ɹɪfəksɪb,1
conpanzole,kənpænzoʊl,panzole,pænzoʊl,1
optinova,ɑːptɪnoʊvə,toponova,tɑːpənoʊvə,1
neurobiz,nʊɹɹəbɪz,neorobia,niːoʊɹoʊbiə,1
berrydazole,bɛɹɪdæzoʊl,diazole,daɪəzoʊl,1
dypita 225,daɪpiːɾə tuːhʌndɹɪd twɛnti faɪv,avitam 225,ævɪtæm tuːhʌndɹɪd twɛnti faɪv,1
glutarite,gluːɾɑːɹɹaɪt,gentamite,dʒɛntɐmaɪt,1
clindacare,klɪndɐkɛɹ,clindacin,klɪndɐsɪn,1
gablin,gæblɪn,gabatin,gæbɐtɪn,1
losarkip 50,lɑːsɑːɹkɪp fɪfti,novasit m 50 1000,noʊvəsɪt ɛm fɪfti wʌn θaʊzənd,1
ivetra 100,aɪvtɹə wʌnhʌndɹɪd,nervepentin 100,nɜːvɪpɛntɪn wʌnhʌndɹɪd,1
moxclatab,mɑːksklɐtæb,calta,kɔltə,1
metocol,mɛɾəkɑːl,methocel,mɛθoʊsəl,1
natrasol plus,nætɹɐsɑːl plʌs,rapid c plus d200 mono,ɹæpɪd siː plʌs diː tuːhʌndɹɪd mɑːnoʊ,1
zevelatab,zɛvɪlæɾæb,zevas,zɛvəz,1
permetrizz,pɜːmɪtɹɪz,metris,mɛtɹɪs,1
varsa,vɑːɹsə,bicarsaph,baɪkɑːɹsæf,1
trixophin w,tɹɪksəfɪn dʌbəljuː,trixophin,tɹɪksəfɪn,1
dapzin m 5 forte,dæpzɪn ɛm faɪv fɔːɹɾeɪ,alodine 5,ɐlɑːdiːn faɪv,1
amgathran 150,æmgæθɹən wʌnhʌndɹɪd fɪfti,zithran,zɪθɹən,1
neurobiz,nʊɹɹəbɪz,neurobion,nʊɹɹoʊbɪən,1
puroxan,pjʊɹɹɑːksən,broxan,bɹɑːksən,1
rifoxyn,ɹɪfəksɪn,ricoxin,ɹɪkəksɪn,1
montelev,mɔntɪlɛv,montelast,mɔntɪlæst,1
giomox,dʒɪɑːmɑːks,imox,ɪmɑːks,1
clobesaph,kloʊbsæf,condesaph,kəndɛsæf,1
prohexon 300,pɹoʊhɛksən θɹiːhʌndɹɪd,hexolin 300,hɛksəlɪn θɹiːhʌndɹɪd,1
xeomin,zɪɑːmɪn,geomin,dʒiːoʊmɪn,1
cefkizon,sɛfkaɪzən,ceficzone,sɛfɪkzoʊn,1
ewel zee plus,juːəl ziː plʌs,ceelin plus chewables,siːlɪn plʌs tʃuːəbəlz,1
anb d5w,ænb diː faɪv dʌbəljuː,anb mannitol,ænb mænɪtɑːl,1
roysal,ɹɔɪsəl,ferosal,fəɹoʊzəl,1
myrevit,maɪɹɪvɪt,myrept,maɪɹɛpt,1
essentiale forte p,ɛsɛnʃəl fɔːɹɾeɪ piː,betrim forte,bɪtɹɪm fɔːɹɾeɪ,1
crezet,kɹɛzɪt,cerazette,sɛɹɐzɛt,1
neurocil,nʊɹɹəsɪl,neurocare plus,nʊɹɹəkɛɹ plʌs,1
cilvex,sɪlvɛks,escivex 10,ɛsɪvɛks tɛn,1
yulareb,juːlɛɹb,acoreb,ækəɹɛb,1
hepabil,hɛpɐbɪl,hepavir,hɛpɐvɪɹ,1
greenxime,gɹiːŋksaɪm,goxime,gɑːksaɪm,1
glucophage,gluːkɑːfɪdʒ,glimphage,glɪmfɪdʒ,1
melanov mr 30,mɛlɐnɑːv mɪstɚ θɜːɾi,meliane,mɛliən,1
finaplasia 1,faɪnɐpleɪʒə wʌn,castra 1,kæstɹə wʌn,1
thiamine mononitrate vit b pyridoxine hydrochloride vit b6 cyanocobalamin vit b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vɪt biː pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vɪt biː sɪks saɪɐnɑːkəbælɐmɪn vɪt biː twɛlv,thiamine mononitrate vitamin b1 pyridoxine hydrochloride vitamin b6 cyanocobalamin vitamin b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vaɪɾəmɪn biː wʌn pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vaɪɾəmɪn biː sɪks saɪɐnɑːkəbælɐmɪn vaɪɾəmɪn biː twɛlv,1
cefromaxil,sɛfɹəmæksɪl,cefroxil,sɛfɹəksɪl,1
riscare odt,ɹɪskɛɹ ɑːt,icare,aɪkɛɹ,1
albestan,ælbɪstɑːn,olmestan,ɑːlmɪstɑːn,1
kercip 400,kɜːsɪp fɔːɹhʌndɹɪd,rofcip,ɹɑːfsɪp,1
neurobiz,nʊɹɹəbɪz,neuroliz,nʊɹɹəlɪz,1
alprazitel,ælpɹeɪzɪɾəl,altrazide,ɔːltɹeɪzaɪd,1
clindacare,klɪndɐkɛɹ,clindabas,klɪndɑːbəz,1
zenith,ziːnɪθ,zenil,zɛnɪl,1
clonisaph 75,klɑːnɪsæf sɛvənti faɪv,clonisaph 150,klɑːnɪsæf wʌnhʌndɹɪd fɪfti,1
clariwin dt,klæɹɪwɪn diːtiː,clarimid,klæɹɪmɪd,1
glurexa,glʊɹɹɛksə,plurex,plʊɹɹɛks,1
affolac,ɐfɑːlæk,avolac,ævəlæk,1
tarka,tɑːɹkə,tartan 40,tɑːɹtən fɔːɹɾi,1
retapenem,ɹɪteɪpnəm,ertapenem as sodium,ɜːɾeɪpnəm æz soʊdiəm,1
ketoguard,kɛɾəgɑːɹd,ketogo,kɛtoʊgoʊ,1
celtere,kɛltɚ,celebrex,sɛlɪbɹɛks,1
fozal,foʊzəl,rhinozal plus,ɹaɪnɑːzəl plʌs,1
visiocare,vɪsɪɑːkɛɹ,vesicare,vɛsɪkɛɹ,1
iopamedix,aɪəpeɪmdɪks,maedix,miːdɪks,1
piptazorixx,pɪptɐzɔːɹɪks,piptaz,pɪptæz,1
blatin 50,bleɪtɪn fɪfti,metsaphtin 50 500,mɛtsɐftɪn fɪfti faɪvhʌndɹɪd,1
nicarfree,nɪkɑːɹfɹiː,nicarden,nɪkɑːɹdən,1
albestan,ælbɪstɑːn,bestatin,bɪstætɪn,1
mednosetron,mɛdnoʊstɹɑːn,hensetron,hɛnsɪtɹɑːn,1
letrocord 25,lɛtɹəkɔːɹd twɛnti faɪv,metrocor,mɛtɹɑːkɚ,1
rifelac,ɹaɪflæk,retalac,ɹɪtælæk,1
hizid,hɪzɪd,clizid,klɪzɪd,1
neopel,niːoʊpɛl,neopeptine,niːoʊpɛptiːn,1
atracursaph,ætɹɐkɜːsæf,atra cure,ætɹə kjʊɹ,1
lifemet,laɪfmɪt,lifedex,laɪfdɛks,1
finstal 1,fɪnstɔːl wʌn,fepimed 1 plus,fɛpaɪmd wʌn plʌs,1
clindacare,klɪndɐkɛɹ,clindacure,klɪndɐkjʊɹ,1
vildalion m 550,vɪldæliən ɛm faɪvhʌndɹɪd fɪfti,vildal,vɪldəl,1
anb d5w,ænb diː faɪv dʌbəljuː,multi ion mb in d5w,mʌltaɪ aɪɑːn ɛmbiː ɪn diː faɪv dʌbəljuː,1
neopel,niːoʊpɛl,mepel,mɛpɛl,1
essencia maravillosa,ɛsɛnʃə mæɹɐvɪloʊsə,essencee,ɛsənsiː,1
voltaren forte,voʊltæɹən fɔːɹɾeɪ,volt,voʊlt,1
hema k,hɛmə keɪ,hemavin ob,hɛmɐvɪn ɑːb,1
lifort,lɪfɔːɹt,elicort,ɪlɪkɔːɹt,1
greenxime,gɹiːŋksaɪm,geoxime,dʒiːoʊksaɪm,1
berrydazole,bɛɹɪdæzoʊl,anazole,ænɐzoʊl,1
tarka,tɑːɹkə,trekal,tɹɛkəl,1
adrepine,ɐdɹɛpaɪn,adrenin,ɐdɹɛnɪn,1
nicarfree,nɪkɑːɹfɹiː,nicarpure,nɪkɑːɹpjʊɹ,1
biposaph g10,baɪpɑːsæf dʒiː tɛn,biosaph,baɪoʊsæf,1
vildalion m 550,vɪldæliən ɛm faɪvhʌndɹɪd fɪfti,vildalion m 900,vɪldæliən ɛm naɪnhʌndɹɪd,1
propitaz iv,pɹəpɪɾæz ɹoʊmən fɔːɹ,japitaz,dʒæpɪtæz,1
neurobiz,nʊɹɹəbɪz,neorobic,niːoʊɹoʊbɪk,1
clindamycin as hydrochloride,klɪndɐmaɪsɪn æz haɪdɹəklɔːɹaɪd,piperacillin as sodium tazobactam as sodium,paɪpɹɐsɪlɪn æz soʊdiəm tæzəbæktæm æz soʊdiəm,1
bepsar,bɛpsɑːɹ,ambesar prime,æmbɪsɑːɹ pɹaɪm,1
alkacit,ælkɐsɪt,blokacid,blɑːkɐsɪd,1
ramitob,ɹæmɪtɑːb,ramavit,ɹæmɐvɪt,1
vistachlor,vɪstɐklɔːɹɚ,vistaflox,vɪstɐflɑːks,1
salveo odt,sælvɪoʊ ɑːt,salbo,sælboʊ,1
torcand 8,tɔːɹkænd eɪt,toricard 5,tɔːɹɪkɑːɹd faɪv,1
ramitob,ɹæmɪtɑːb,tramicet,tɹæmɪsɪt,1
ventcare,vɛntkɛɹ,venacare,vɛnɐkɛɹ,1
clonisaph 75,klɑːnɪsæf sɛvənti faɪv,clonisaph inf,klɑːnɪsæf ɪnf,1
carbosaph c500,kɑːɹbəsæf siː faɪvhʌndɹɪd,carbonish 450,kɑːɹbɑːnɪʃ fɔːɹhʌndɹɪd fɪfti,1
amloval 160 10,æmluːvəl wʌnhʌndɹɪd sɪksti tɛn,amlovart 160 10,æmləvɑːɹt wʌnhʌndɹɪd sɪksti tɛn,1
propitaz iv,pɹəpɪɾæz ɹoʊmən fɔːɹ,propix,pɹəpɪks,1
diquas,dɪkwəz,duasaph 450,duːɐsæf fɔːɹhʌndɹɪd fɪfti,1
gerdsol,dʒɜːdsɑːl,ferosol,fɛɹəsɑːl,1
varsa,vɑːɹsə,varoxa,væɹɑːksə,1
telmiheart plus 925,tɛlmɪhɑːɹt plʌs naɪnhʌndɹɪd twɛnti faɪv,telmiheart plus 525,tɛlmɪhɑːɹt plʌs faɪvhʌndɹɪd twɛnti faɪv,1
cosvit c plus,kɑːsvɪt siː plʌs,cosvit c,kɑːsvɪt siː,1
axonedu,æksoʊnduː,sanaxone 1000,sænɐksoʊn wʌn θaʊzənd,1
paranat,pæɹənæt,paratam,pæɹətæm,1
metfor pr 1000,mɛtfɚ piːɑːɹ wʌn θaʊzənd,metform,mɛtfɔːɹm,1
doctaxel,dɑːktæksəl,ocetax,oʊstæks,1
insuljack r,ɪnsʌldʒæk ɑːɹ,insulyf r regular,ɪnsuːlɪf ɑːɹ ɹɛgjʊlɚ,1
predfirst,pɹɪdfɜːst,pred 1,pɹɛd wʌn,1
tioconazole tinidazole,tɪɑːkənæzoʊl tɪnɪdæzoʊl,gonidazole,gɑːnɪdæzoʊl,1
co amoxisaph 457,koʊ æməksɪsæf fɔːɹhʌndɹɪd fɪfti sɛvən,moxisaph,mɑːksɪsæf,1
maxidine,mæksɪdiːn,raxidine,ɹæksɪdiːn,1
enerflow,ɛnɚfloʊ,e flo,iː floʊ,1
praxolin 150,pɹæksəlɪn wʌnhʌndɹɪd fɪfti,praxol,pɹæksɑːl,1
alkacit,ælkɐsɪt,faracit,fæɹɐsɪt,1
rovix,ɹɑːvɪks,provex,pɹuːvɛks,1
eye glo moist,aɪ gloʊ mɔɪst,eye glo regular,aɪ gloʊ ɹɛgjʊlɚ,1
cosvit c plus,kɑːsvɪt siː plʌs,ascorb c,ɐskɔːɹb siː,1
praxolin 150,pɹæksəlɪn wʌnhʌndɹɪd fɪfti,praxolin 75,pɹæksəlɪn sɛvənti faɪv,1
elmox cv 3125,ɛlmɑːks siːviː θɹiː θaʊzənd wʌnhʌndɹɪd twɛnti faɪv,elmox 500,ɛlmɑːks faɪvhʌndɹɪd,1
halonol,heɪlənɑːl,halomood,heɪləmuːd,1
dolan fp,dɑːlæn ɛfpiː,dolcap,dɑːlkæp,1
dicloxiri,dɪkləksiəɹi,diclon,dɪklɑːn,1
teli 80,tɛli eɪɾi,teli 40,tɛli fɔːɹɾi,1
sethair duo,sɛɾaɪɚ duːoʊ,faseth,feɪsəθ,1
cholsuvin,kɑːlsuːvɪn,cholinerv,kɑːlɪnɜːv,1
lifemet,laɪfmɪt,rifemetrin,ɹaɪfmɪtɹɪn,1
uricobles 40,jʊɹɹɪkɑːbəlz fɔːɹɾi,cosec 40,koʊsɛk fɔːɹɾi,1
cartine,kɑːɹtiːn,cardin,kɑːɹdɪn,1
robitussin dm,ɹɑːbaɪtʌsɪn diːɛm,robitussin ex,ɹɑːbaɪtʌsɪn ɛks,1
telsar 80,tɛlsɑːɹ eɪɾi,telsar 40,tɛlsɑːɹ fɔːɹɾi,1
oranair plus,ɔːɹɐnɛɹ plʌs,oranair,ɔːɹɐnɛɹ,1
moxclatab,mɑːksklɐtæb,caltab,kɔltæb,1
ikshatob,ɪkʃɐtɑːb,iksharti,ɪkʃɑːɹɾi,1
blirelin,blaɪɚlɪn,blicarpine,blɪkɑːɹpaɪn,1
vilomet 500,vaɪlɑːmɪt faɪvhʌndɹɪd,philmet 500,fɪlmɪt faɪvhʌndɹɪd,1
ciprophil,sɪpɹəfɪl,zithrophil,zɪθɹəfɪl,1
femostal 20,fɛmoʊstəl twɛnti,ecosta,iːkoʊstə,1
asconzee,ɐskɑːnziː,ascof,ɐskɑːf,1
clavoxsea 457,klævəkssiː fɔːɹhʌndɹɪd fɪfti sɛvən,clavoxsea 1000,klævəkssiː wʌn θaʊzənd,1
corvizem,kɔːɹvaɪzəm,corbizee,kɔːɹbɪziː,1
anb d5w,ænb diː faɪv dʌbəljuː,anb,ænb,1
welltrate,wɛltɹeɪt,imwell,ɪmwɛl,1
ferrqure,fɛrkwɚɹə,curel,kjʊɹɹəl,1
cizolin,sɪzəlɪn,phizolin,fɪzəlɪn,1
minox 5,mɪnɑːks faɪv,inox,ɪnɑːks,1
clobesaph,kloʊbsæf,s clobe,ɛs kloʊb,1
dicloxiri,dɪkləksiəɹi,diclox,dɪklɑːks,1
tenol,tɛnɑːl,tenormin,tɛnɔːɹmɪn,1
cholsuvin,kɑːlsuːvɪn,choicesulin,tʃɔɪssuːlɪn,1
ketoran,kɛɾɔːɹən,ketosan,kɛɾɑːsən,1
gozol iv,gɑːzɑːl ɹoʊmən fɔːɹ,gotazo iv,gətɑːzoʊ ɹoʊmən fɔːɹ,1
febsan 120,fɛbsən wʌnhʌndɹɪd twɛnti,febsan 80,fɛbsən eɪɾi,1
zenith,ziːnɪθ,genzith,dʒɛnzɪθ,1
kogzib 60,kɑːgzɪb sɪksti,ethezib 60,iːθɪzɪb sɪksti,1
chiamin s,tʃaɪəmɪn ɛs,kremil s advance,kɹɛmɪl ɛs ɐdvæns,1
hidrasec,hɪdɹeɪsək,hydrafen,haɪdɹeɪfən,1
ivetra 100,aɪvtɹə wʌnhʌndɹɪd,ivetra 1000,aɪvtɹə wʌn θaʊzənd,1
febstat 40,fɛbstæt fɔːɹɾi,esomeprasaph 40,ɛsoʊmpɹæsæf fɔːɹɾi,1
hemosdin,hiːməsdɪn,isdin,ɪsdɪn,1
sitplixin 100,sɪtplɪksɪn wʌnhʌndɹɪd,eploxin 100,ɛpləksɪn wʌnhʌndɹɪd,1
visiocare,vɪsɪɑːkɛɹ,vispocef,vɪspoʊsəf,1
moxclatab,mɑːksklɐtæb,amoxilab,æməksɪlæb,1
novestrol,noʊvstɹɑːl,noveron,noʊvɚɹən,1
ikshatob,ɪkʃɐtɑːb,dikshamin,dɪkʃɐmɪn,1
nivicof,nɪvɪkɑːf,ranivic,ɹænɪvɪk,1
gloww e,gloʊwə iː,flow,floʊ,1
asconzee,ɐskɑːnziː,scorbzee,skɔːɹbziː,1
dicloxiri,dɪkləksiəɹi,clox,klɑːks,1
torcand 8,tɔːɹkænd eɪt,atorcad,æɾɔːɹkæd,1
trixophin w,tɹɪksəfɪn dʌbəljuː,triophil,tɹaɪəfɪl,1
acellbia,ɐsɛlbiə,aceclav,ɐsɛklæv,1
diquas,dɪkwəz,dictas,dɪktəz,1
saphtriaxone sb,sæftɹɪæksoʊn ɛsbiː,triaxone,tɹaɪɐksoʊn,1
ledrocid,lɛdɹəsɪd,edroxid,ɛdɹəksɪd,1
tigecid,taɪgɪsɪd,vigocid,vɪgəsɪd,1
acellbia,ɐsɛlbiə,calubia,kæluːbiə,1
saphcisin 100,sæfsɪsɪn wʌnhʌndɹɪd,saphcisin 500,sæfsɪsɪn faɪvhʌndɹɪd,1
iztam 45,ɪztæm fɔːɹɾi faɪv,ztam,ziːtæm,1
gascopan,gæskəpæn,proscopan,pɹəskɑːpæn,1
veeta,viːɾə,ventam,vɛntæm,1
ledrocid,lɛdɹəsɪd,zoldrocid,zoʊldɹəsɪd,1
efergen,ɛfɚdʒən,eferin,ɛfɚɹɪn,1
gentagem,dʒɛnteɪdʒəm,gentamite,dʒɛntɐmaɪt,1
cosvit c plus,kɑːsvɪt siː plʌs,asco c,ɐskoʊ siː,1
carbosaph c500,kɑːɹbəsæf siː faɪvhʌndɹɪd,carbosaph 125,kɑːɹbəsæf wʌnhʌndɹɪd twɛnti faɪv,1
cloxin,klɑːksɪn,cloxacin,klɑːksɐsɪn,1
pantrex,pæntɹɛks,pantotrek,pæntətɹɛk,1
trixophin w,tɹɪksəfɪn dʌbəljuː,rixo,ɹɪksoʊ,1
telsar 80,tɛlsɑːɹ eɪɾi,telstar 80,tɛlstɑːɹ eɪɾi,1
normglubin,nɔːɹmgluːbɪn,normax,nɔːɹmæks,1
losar 50,lɑːsɑːɹ fɪfti,losan 50,lɑːsən fɪfti,1
febuhil,fɛbjuːhɪl,feburic,fɛbɛɹɪk,1
oxanova,ɑːksɐnoʊvə,moxinova cv,mɑːksɪnoʊvə siːviː,1
diquas,dɪkwəz,diasar,daɪəsɑːɹ,1
macromycin,mækɹəmaɪsɪn,mycin,maɪsɪn,1
myrevit,maɪɹɪvɪt,revite,ɹɪvaɪt,1
thiamine mononitrate vit b pyridoxine hydrochloride vit b6 cyanocobalamin vit b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vɪt biː pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vɪt biː sɪks saɪɐnɑːkəbælɐmɪn vɪt biː twɛlv,thiamine mononitrate vitamin b pyridoxine hydrochloride vitamin b6 cyanocobalamin vitamin b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vaɪɾəmɪn biː pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vaɪɾəmɪn biː sɪks saɪɐnɑːkəbælɐmɪn vaɪɾəmɪn biː twɛlv,1
sitplixin 100,sɪtplɪksɪn wʌnhʌndɹɪd,sitatin 100,sɪɾɐtɪn wʌnhʌndɹɪd,1
asmagen,ɐsmeɪdʒən,asmalex,ɐsmeɪlɛks,1
hepabil,hɛpɐbɪl,hepnil,hɛpnɪl,1
paratuss,pæɹətʌs,parastar 500,pæɹəstɑːɹ faɪvhʌndɹɪd,1
doctaxel,dɑːktæksəl,docetaze,doʊsteɪz,1
paulonorest,pɔːlənɔːɹst,palnostar,pælnəstɑːɹ,1
pocym 250,pɑːsɪm tuːhʌndɹɪd fɪfti,ponstan sf 250,pɑːnstən ɛsɛf tuːhʌndɹɪd fɪfti,1
ephalox,ɛfɐlɑːks,eploxin 100,ɛpləksɪn wʌnhʌndɹɪd,1
coglitazone 30,kɑːglɪtæzoʊn θɜːɾi,goclaz 30,gɑːklæz θɜːɾi,1
gloww e,gloʊwə iː,gowell c plus,gaʊɛl siː plʌs,1
clindavint,klɪndɐvɪnt,clindacin,klɪndɐsɪn,1
iztam 45,ɪztæm fɔːɹɾi faɪv,aezitam 45,iːzɪtæm fɔːɹɾi faɪv,1
ephalox,ɛfɐlɑːks,omefhalox,oʊmfhɐlɑːks,1
robitussin sinus relief,ɹɑːbaɪtʌsɪn saɪnəs ɹɪliːf,robitussin ex,ɹɑːbaɪtʌsɪn ɛks,1
hemosdin,hiːməsdɪn,hemostan,hiːmoʊstɑːn,1
omepracent 40,oʊmpɹeɪsənt fɔːɹɾi,estan 40,ɛstən fɔːɹɾi,1
enerstress,ɛnɚstɹəs,stresstabs energy men,stɹɛstæbz ɛnɚdʒi mɛn,1
chiamin s,tʃaɪəmɪn ɛs,kremil s cool relief,kɹɛmɪl ɛs kuːl ɹɪliːf,1
essentiale forte p,ɛsɛnʃəl fɔːɹɾeɪ piː,b forte,biː fɔːɹɾeɪ,1
zoledius 4,zoʊldɪəs fɔːɹ,zolemi 4,zoʊlmi fɔːɹ,1
ezomephil,ɛzoʊmfɪl,omephil 20,oʊmfɪl twɛnti,1
bucligen,bʌklaɪdʒən,clonigen,klɑːnaɪdʒən,1
rapid c plus d1000,ɹæpɪd siː plʌs diː wʌn θaʊzənd,rapid c plus d,ɹæpɪd siː plʌs diː,1
lexibase,lɛksɪbeɪs,lexyr,lɛksɚ,1
ivapro 5,ɪvæpɹoʊ faɪv,amapine v 5 160,æmɐpaɪn viː faɪv wʌnhʌndɹɪd sɪksti,1
hepabil,hɛpɐbɪl,hepavid,hɛpɐvɪd,1
ciprodin fc,sɪpɹədɪn ɛfsiː,ciproden,sɪpɹoʊdən,1
clindamycin as hydrochloride,klɪndɐmaɪsɪn æz haɪdɹəklɔːɹaɪd,piperacillin as sodium tazobactamas sodium,paɪpɹɐsɪlɪn æz soʊdiəm tæzəbɐktɑːməz soʊdiəm,1
omepors,oʊmpɚz,omephar,oʊmfɑːɹ,1
thiamine mononitrate vit b pyridoxine hydrochloride vit b6 cyanocobalamin vit b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vɪt biː pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vɪt biː sɪks saɪɐnɑːkəbælɐmɪn vɪt biː twɛlv,b 12 ankermann,biː twɛlv æŋkɚmən,1
sunpant 40,sʌnpənt fɔːɹɾi,pantid 40,pæntɪd fɔːɹɾi,1
